Name,Price,Type,Code,Dry Matter
ASSF,52.2000,Unclassified,,
Choline Cl - 50%,3.4000,Unclassified,,
Choline H,5.2000,Microingredients,,
Common Salt,0.4000,Unclassified,Common Salt,
Corn Grain,0.9500,Unclassified,"Corn, Grain",89.00
CTCZyme,26.5000,Animal And Dairy By-Products,,
DL-Methionine 84,14.8000,Protein Concentrates,,
DL-Methionine 99,12.0000,Unclassified,DL-Methionine,100.00
Enerfats,3.3600,Animal Fats And Oils,,
Fiber Concentrate,6.0000,Fibrous Feeds,,
Fishmeal MAL 55%,2.8560,Unclassified,,
GW Fish Meal,4.3000,Unclassified,White Fish Meal,91.00
Indian Fishmeal,3.5000,Unclassified,White Fish Meal,91.00
L-Lysine HCl,6.0000,Unclassified,L-Lysine HCl,
L-Threonine,7.8000,Protein Concentrates,,
L-Tryptophan,72.0000,Protein Concentrates,,
Lecithin,3.4000,Unclassified,,
Limestone,0.0650,Unclassified,Limestone,
Lipidol,27.2700,Animal Fats And Oils,,
Lysor,26.0000,Animal Fats And Oils,,
MCP22,2.2800,Mineral Sources,,
MDCP21,1.7000,Mineral Sources,,
MegaFat,3.0000,Animal Fats And Oils,,
Natuzyme,22.0000,Unclassified,,
Palm Oil,2.7500,Unclassified,Palm Oil,100.00
Phytase 150,16.0000,Unclassified,,
Phytase 5000,16.0000,Unclassified,,
Rice Bran,0.6000,Unclassified,Rice Bran,91.00
Rice Polishings,0.9200,Unclassified,Rice Polishings,90.00
Roxazyme,125.0000,Unclassified,,
Sodium Bicab,1.1000,Unclassified,,
SS Full Fat Corn Germ,0.8000,Cereal-Byproducts,,
SS Full Sat Soybeanmeal,2.2200,Unclassified,,
SS Soyabean Meal DHP,1.9000,Unclassified,,88.00
SS Soyabean Meal NP,1.6000,Cereal-Byproducts,,
Wheat Bran,0.5500,Unclassified,Wheat Bran,89.00
White Fish Meal,5.7500,Unclassified,White Fish Meal,91.00
Zargo Min 3806,5.6000,Unclassified,3806,
Zargo Vit-528,38.0000,Unclassified,,
